Arxiv	0126731ed18e11ea9a8facde48001122	Influence of Langmuir adsorption and viscous fingering on transport of
  finite size samples in porous media	physics.flu-dyn	http://arxiv.org/abs/1808.00699v3
Arxiv	02b7843ed18e11ea9a8facde48001122	Forward slicing of functional logic programs by partial evaluation	cs.PL	http://arxiv.org/abs/cs/0601013v1
Arxiv	05d0b9e2d18e11ea9a8facde48001122	Slice Stretching Effects for Maximal Slicing of a Schwarzschild Black
  Hole	gr-qc	http://arxiv.org/abs/gr-qc/0404118v2
Arxiv	07630256d18e11ea9a8facde48001122	On slicing invariants of knots	math.GT	http://arxiv.org/abs/0802.2109v1
Arxiv	0903d7acd18e11ea9a8facde48001122	A new construction of $\tilde{D}_5$-singularities and generalization of
  Slodowy slices	math.AG	http://arxiv.org/abs/1209.5541v1
Arxiv	0aa3fbe6d18e11ea9a8facde48001122	A note on the topological sliceness of some 2-bridge knots	math.GT	http://arxiv.org/abs/1507.01616v1
Arxiv	0c88df62d18e11ea9a8facde48001122	A note on cabled slice knots and reducible surgeries	math.GT	http://arxiv.org/abs/1507.04562v1
Arxiv	0e22ba28d18e11ea9a8facde48001122	The slices of $S^n \wedge H\underline{\mathbb{Z}}$ for cyclic $p$-groups	math.AT	http://arxiv.org/abs/1510.02077v1
Arxiv	0fc309d2d18e11ea9a8facde48001122	Cobordisms of graphs. A sliceness criterion for stably odd knots and
  related results on cobordisms	math.GT	http://arxiv.org/abs/1708.07365v2
Arxiv	1163d85cd18e11ea9a8facde48001122	The Vertical Slice Transform in Spherical Tomography	math.FA	http://arxiv.org/abs/1807.07689v1
Arxiv	1304bbd6d18e11ea9a8facde48001122	Management and Orchestration of Network Slices in 5G, Fog, Edge and
  Clouds	cs.DC	http://arxiv.org/abs/1812.00593v1
Arxiv	14a52804d18e11ea9a8facde48001122	Band Number and the Double Slice Genus	math.GT	http://arxiv.org/abs/1901.07625v1
Arxiv	1845158cd18e11ea9a8facde48001122	Design and Experimental Validation of a Software-Defined Radio Access
  Network Testbed with Slicing Support	cs.NI	http://arxiv.org/abs/1905.05729v1
